context_length,alpha,beta,adapt,chars_processed,time_microsec,bpc
6,49,77,1,63000000,14145818,0
6,49,77,1,63500000,14256950,0
6,49,77,1,64000000,14370161,0
6,49,77,1,64500000,14480977,0
6,49,77,1,65000000,14593454,0
6,49,77,1,65500000,14703957,0
6,49,77,1,66000000,14815569,0
6,49,77,1,66500000,14928059,0
6,49,77,1,67000000,15037994,0
6,49,77,1,67500000,15149286,0
6,49,77,1,68000000,15259251,0
6,49,77,1,68500000,15370833,0
6,49,77,1,69000000,15481412,0
6,49,77,1,69500000,15592385,0
6,49,77,1,70000000,15703194,0
6,49,77,1,70500000,15815103,0
6,49,77,1,71000000,15925305,0
6,49,77,1,71500000,16036298,0
6,49,77,1,72000000,16146958,0
6,49,77,1,72500000,16258073,0
6,49,77,1,73000000,16369965,0
6,49,77,1,73500000,16482053,0
6,49,77,1,74000000,16593064,0
6,49,77,1,74500000,16703118,0
6,49,77,1,75000000,16814206,0
6,49,77,1,75500000,16925304,0
6,49,77,1,76000000,17035975,0
6,49,77,1,76500000,17145908,0
6,49,77,1,77000000,17255695,0
6,49,77,1,77500000,17365028,0
6,49,77,1,78000000,17475088,0
6,49,77,1,78500000,17586383,0
6,49,77,1,79000000,17698699,0
6,49,77,1,79500000,17809074,0
6,49,77,1,80000000,17919431,0
6,49,77,1,80500000,18030749,0
6,49,77,1,81000000,18143704,0
6,49,77,1,81500000,18254884,0
6,49,77,1,82000000,18365454,0
6,49,77,1,82500000,18477565,0
6,49,77,1,83000000,18588759,0
6,49,77,1,83500000,18709832,0
6,49,77,1,84000000,18820591,0
6,49,77,1,84500000,18930770,0
6,49,77,1,85000000,19041406,0
6,49,77,1,85500000,19152491,0
6,49,77,1,86000000,19263852,0
6,49,77,1,86500000,19373717,0
6,49,77,1,87000000,19484841,0
6,49,77,1,87500000,19596095,0
6,49,77,1,88000000,19706355,0
6,49,77,1,88500000,19816377,0
6,49,77,1,89000000,19927856,0
6,49,77,1,89500000,20036863,0
6,49,77,1,90000000,20147945,0
7,49,77,0,500000,163982,0
7,49,77,0,1000000,328312,0
7,49,77,0,1500000,490392,0
7,49,77,0,2000000,650548,0
7,49,77,0,2500000,812614,0
7,49,77,0,3000000,974778,0
7,49,77,0,3500000,1132693,0
7,49,77,0,4000000,1283793,0
7,49,77,0,4500000,1430379,0
7,49,77,0,5000000,1573416,0
7,49,77,0,5500000,1717527,0
7,49,77,0,6000000,1859517,0
7,49,77,0,6500000,2002985,0
7,49,77,0,7000000,2145780,0
7,49,77,0,7500000,2286723,0
7,49,77,0,8000000,2427774,0
7,49,77,0,8500000,2571363,0
7,49,77,0,9000000,2709901,0
7,49,77,0,9500000,2849560,0
7,49,77,0,10000000,2989076,0
7,49,77,0,10500000,3129691,0
7,49,77,0,11000000,3270666,0
7,49,77,0,11500000,3409250,0
7,49,77,0,12000000,3548193,0
7,49,77,0,12500000,3691770,0
7,49,77,0,13000000,3832552,0
7,49,77,0,13500000,3971945,0
7,49,77,0,14000000,4111288,0
7,49,77,0,14500000,4251541,0
7,49,77,0,15000000,4391954,0
7,49,77,0,15500000,4530650,0
7,49,77,0,16000000,4668296,0
7,49,77,0,16500000,4808366,0
7,49,77,0,17000000,4946729,0
7,49,77,0,17500000,5083390,0
7,49,77,0,18000000,5220950,0
7,49,77,0,18500000,5361313,0
7,49,77,0,19000000,5499427,0
7,49,77,0,19500000,5636437,0
7,49,77,0,20000000,5775521,0
7,49,77,0,20500000,5914087,0
7,49,77,0,21000000,6052054,0
7,49,77,0,21500000,6190950,0
7,49,77,0,22000000,6327336,0
7,49,77,0,22500000,6463340,0
7,49,77,0,23000000,6599988,0
7,49,77,0,23500000,6738282,0
7,49,77,0,24000000,6879152,0
7,49,77,0,24500000,7016050,0
7,49,77,0,25000000,7154368,0
7,49,77,0,25500000,7292297,0
7,49,77,0,26000000,7430128,0
7,49,77,0,26500000,7567917,0
7,49,77,0,27000000,7706497,0
7,49,77,0,27500000,7844174,0
7,49,77,0,28000000,7982612,0
7,49,77,0,28500000,8121494,0
7,49,77,0,29000000,8260702,0
7,49,77,0,29500000,8395085,0
7,49,77,0,30000000,8530696,0
7,49,77,0,30500000,8668437,0
7,49,77,0,31000000,8804637,0
7,49,77,0,31500000,8941777,0
7,49,77,0,32000000,9079672,0
7,49,77,0,32500000,9215081,0
7,49,77,0,33000000,9352504,0
7,49,77,0,33500000,9494560,0
7,49,77,0,34000000,9631971,0
7,49,77,0,34500000,9767459,0
7,49,77,0,35000000,9906710,0
7,49,77,0,35500000,10041288,0
7,49,77,0,36000000,10176951,0
7,49,77,0,36500000,10314374,0
7,49,77,0,37000000,10451911,0
7,49,77,0,37500000,10588649,0
7,49,77,0,38000000,10726647,0
7,49,77,0,38500000,10861500,0
7,49,77,0,39000000,10999578,0
7,49,77,0,39500000,11137896,0
7,49,77,0,40000000,11273115,0
7,49,77,0,40500000,11410163,0
7,49,77,0,41000000,11547604,0
7,49,77,0,41500000,11684989,0
7,49,77,0,42000000,11821249,0
7,49,77,0,42500000,11957470,0
7,49,77,0,43000000,12094922,0
7,49,77,0,43500000,12232549,0
7,49,77,0,44000000,12370643,0
7,49,77,0,44500000,12510222,0
7,49,77,0,45000000,12648379,0
7,49,77,0,45500000,12786967,0
7,49,77,0,46000000,12924370,0
7,49,77,0,46500000,13059966,0
7,49,77,0,47000000,13197892,0
7,49,77,0,47500000,13335487,0
7,49,77,0,48000000,13472725,0
7,49,77,0,48500000,13609706,0
7,49,77,0,49000000,13747167,0
7,49,77,0,49500000,13894069,0
7,49,77,0,50000000,14037319,0
7,49,77,0,50500000,14176118,0
7,49,77,0,51000000,14316000,0
7,49,77,0,51500000,14454538,0
7,49,77,0,52000000,14593604,0
7,49,77,0,52500000,14731164,0
7,49,77,0,53000000,14866995,0
7,49,77,0,53500000,15006114,0
7,49,77,0,54000000,15145344,0
7,49,77,0,54500000,15284849,0
7,49,77,0,55000000,15420895,0
7,49,77,0,55500000,15559515,0
7,49,77,0,56000000,15694586,0
7,49,77,0,56500000,15832718,0
7,49,77,0,57000000,15970692,0
7,49,77,0,57500000,16109243,0
7,49,77,0,58000000,16248094,0
7,49,77,0,58500000,16383825,0
7,49,77,0,59000000,16522764,0
7,49,77,0,59500000,16658779,0
7,49,77,0,60000000,16797011,0
7,49,77,0,60500000,16933027,0
7,49,77,0,61000000,17070447,0
7,49,77,0,61500000,17208436,0
7,49,77,0,62000000,17345118,0
7,49,77,0,62500000,17483373,0
7,49,77,0,63000000,17622573,0
7,49,77,0,63500000,17761136,0
7,49,77,0,64000000,17899466,0
7,49,77,0,64500000,18038298,0
7,49,77,0,65000000,18179118,0
7,49,77,0,65500000,18317258,0
7,49,77,0,66000000,18457053,0
7,49,77,0,66500000,18598079,0
7,49,77,0,67000000,18735298,0
7,49,77,0,67500000,18874679,0
7,49,77,0,68000000,19011930,0
7,49,77,0,68500000,19149469,0
7,49,77,0,69000000,19287869,0
7,49,77,0,69500000,19427030,0
7,49,77,0,70000000,19565837,0
7,49,77,0,70500000,19706001,0
