context_length,alpha,beta,adapt,pretrain,bpc,time_microsec
7,57,49,0,1,2.20147,138600813
7,57,49,1,1,2.16117,138866553
7,57,57,0,1,2.19664,138707085
7,57,57,1,1,2.15754,139402712
7,57,65,0,1,2.19358,138669782
7,57,65,1,1,2.15527,139223686
7,57,73,0,1,2.19162,138774304
7,57,73,1,1,2.15448,139358155
7,57,81,0,1,2.19242,138551382
7,57,81,1,1,2.15549,139413950
7,57,89,0,1,2.19568,138759146
7,57,89,1,1,2.15962,139133212
7,57,97,0,1,2.20636,138635801
7,57,97,1,1,2.17115,139294369
7,65,1,0,1,2.26717,138831575
7,65,1,1,1,2.21762,139403414
7,65,9,0,1,2.24689,138593003
7,65,9,1,1,2.20013,139533832
7,65,17,0,1,2.23281,138695626
7,65,17,1,1,2.18769,139216642
7,65,25,0,1,2.22164,138597421
7,65,25,1,1,2.17796,139204754
7,65,33,0,1,2.21295,138580816
7,65,33,1,1,2.17047,139222919
7,65,41,0,1,2.20579,141505181
7,65,41,1,1,2.16457,139241259
7,65,49,0,1,2.2,138961460
7,65,49,1,1,2.16,139248994
7,65,57,0,1,2.19546,139369494
7,65,57,1,1,2.15664,139303594
7,65,65,0,1,2.19263,138780875
7,65,65,1,1,2.15454,139309587
7,65,73,0,1,2.19093,138569340
7,65,73,1,1,2.15392,139328484
7,65,81,0,1,2.19176,138583410
7,65,81,1,1,2.15503,139581545
7,65,89,0,1,2.1951,138584939
7,65,89,1,1,2.15925,139284217
7,65,97,0,1,2.20578,138734106
7,65,97,1,1,2.17074,139256218
7,73,1,0,1,2.26158,139221726
7,73,1,1,1,2.21279,139186229
7,73,9,0,1,2.24287,138828572
7,73,9,1,1,2.1967,139317718
7,73,17,0,1,2.22968,138574770
7,73,17,1,1,2.18501,139247929
7,73,25,0,1,2.21917,139067847
7,73,25,1,1,2.17588,139307374
7,73,33,0,1,2.21091,139017064
7,73,33,1,1,2.16881,139091930
7,73,41,0,1,2.20415,138675589
7,73,41,1,1,2.16323,139169189
7,73,49,0,1,2.19864,138580990
7,73,49,1,1,2.15893,139269554
7,73,57,0,1,2.19447,138543569
